,f1,f2,f3,a1,a2,a3
35,-0.273845,0.025791,0.356629,-0.241054,0.030028,0.317378
36,-0.193368,-0.02832,0.345008,-0.19067,-0.000879,0.314023
37,-0.193368,-0.02832,0.345008,-0.190529,-0.000946,0.313993
38,-0.193368,-0.02832,0.345008,-0.188618,-0.002047,0.312895
39,-0.27581,-0.0163,0.355096,-0.236107,0.01602,0.308874
40,-0.197783,-0.00018,0.360414,-0.215311,0.014613,0.317789
41,-0.197783,-0.00018,0.360414,-0.200156,0.009792,0.316384
42,-0.238547,0.083209,0.358775,-0.231978,0.062961,0.328263
43,-0.261712,-0.056574,0.348033,-0.228464,-0.007529,0.288695
44,-0.261712,-0.056574,0.348033,-0.230456,-0.008705,0.285949
45,-0.275385,-0.021417,0.343249,-0.230413,0.015243,0.311828
46,-0.195928,-0.019023,0.326821,-0.186819,0.002325,0.303554
47,-0.275385,-0.021417,0.343249,-0.234397,0.015786,0.309759
48,-0.18855,-0.032778,0.314064,-0.182383,-0.002131,0.301026
49,-0.247361,-0.075439,0.332039,-0.214943,-0.020516,0.280521
50,-0.186977,0.035769,0.314398,-0.187875,0.059186,0.294484
