,h1,h2,h3,a1,a2,a3,f1,f2,f3,x1,x2,x3
107,-0.161388,-0.014348,0.32648699999999997,-0.17294600000000002,-0.025049000000000002,0.277789,-0.146892,-0.058945,0.333927,-0.148572,-0.040129000000000005,0.318934
108,-0.196357,-0.001955,0.27620900000000004,-0.160821,-0.013817,0.265266,-0.185891,-0.01242,0.278005,-0.185893,-0.012416,0.278003
109,-0.204684,0.068424,0.308103,-0.176783,0.036801,0.299666,-0.202416,0.050123,0.313171,-0.202418,0.050126,0.31317
110,-0.197076,0.059186,0.237367,-0.196544,0.035502,0.21881199999999998,-0.18781,0.04674,0.231987,-0.207596,0.039655,0.238324
111,-0.231512,0.039999,0.21653699999999998,-0.219927,0.029816000000000002,0.195927,-0.241156,0.042008,0.202031,-0.241159,0.042010000000000006,0.20203
112,-0.22654899999999997,-0.06124500000000001,0.219466,-0.229645,-0.006664,0.201852,-0.241692,-0.038696,0.201652,-0.241691,-0.038694,0.201651
113,-0.07370800000000001,0.15036300000000002,0.377431,-0.116031,0.160191,0.351763,-0.043668,0.13172799999999998,0.37828,-0.047839,0.151102,0.370632
114,-0.216096,0.056652,0.259939,-0.194605,0.036835,0.265907,-0.220229,0.043028,0.258968,-0.220423,0.043162,0.258898
115,-0.151582,0.116273,0.325991,-0.167299,0.15096400000000001,0.299767,-0.13307,0.108127,0.30993200000000004,-0.15756099999999998,0.107729,0.336906
116,-0.158645,0.126129,0.315871,-0.193183,0.161553,0.249358,-0.150056,0.133625,0.288161,-0.17896900000000002,0.138507,0.3116
117,-0.09425900000000001,0.11191199999999998,0.362509,-0.130182,0.120398,0.346357,-0.073073,0.100945,0.367105,-0.08468200000000001,0.101663,0.38055
118,-0.234118,0.027620999999999996,0.21875100000000003,-0.22134299999999998,0.025277,0.20092100000000002,-0.242596,0.032333,0.201014,-0.242596,0.032333999999999995,0.201014
119,-0.130185,0.057098,0.35739099999999996,-0.14515799999999998,0.004928,0.313051,-0.110567,0.019621,0.37923,-0.115533,0.026267,0.368535
120,-0.22194899999999998,0.002157,0.22762800000000002,-0.204584,0.0055,0.220367,-0.226744,0.006212,0.21312,-0.226746,0.006215,0.213118
121,-0.12179200000000001,-0.022588999999999998,0.37305,-0.160125,-0.017293,0.292475,-0.124525,-0.023774,0.368305,-0.129997,-0.007443000000000002,0.349289
122,-0.23105100000000003,0.053585,0.27813699999999997,-0.199155,0.036001,0.28621199999999997,-0.234461,0.041307,0.285938,-0.234465,0.041316000000000005,0.285932
123,-0.147557,-0.065634,0.32495100000000005,-0.192113,-0.030905000000000002,0.259151,-0.155655,-0.091877,0.290711,-0.156359,-0.06543500000000001,0.279684
124,-0.10105399999999999,0.133374,0.386571,-0.147949,0.134349,0.337927,-0.125736,0.143369,0.37424,-0.12601700000000002,0.143433,0.374077
125,-0.166734,0.11696300000000001,0.305242,-0.18553,0.10446300000000001,0.28934699999999997,-0.178356,0.109451,0.30885300000000004,-0.181524,0.109438,0.31137800000000004
126,-0.184729,0.073709,0.24872800000000003,-0.214092,0.089771,0.189461,-0.19227,0.089975,0.225626,-0.219992,0.086898,0.233315
127,-0.183565,0.052621,0.243025,-0.214747,0.068415,0.185792,-0.210789,0.08229199999999999,0.214915,-0.223,0.080592,0.21733400000000005
128,-0.19481800000000002,0.076687,0.262198,-0.183594,0.038846,0.272689,-0.198536,0.056377,0.276265,-0.19854,0.056378,0.276266
129,-0.220269,-0.0009519999999999999,0.22192800000000001,-0.206273,0.0066879999999999995,0.207017,-0.22601,0.00414,0.20315,-0.226014,0.004145,0.203149
130,-0.113105,0.132388,0.381946,-0.153944,0.127816,0.333627,-0.14111600000000002,0.136168,0.367935,-0.14112,0.13617,0.367932
131,-0.100855,0.13484000000000002,0.387225,-0.142278,0.13255899999999998,0.344563,-0.11796,0.136168,0.386488,-0.117982,0.136176,0.386476
132,-0.14360799999999999,0.031322,0.35990500000000003,-0.171227,0.001689,0.312967,-0.145042,-0.009509,0.377773,-0.14665599999999998,0.003239,0.360367
133,-0.196973,0.009191,0.331316,-0.17319,-0.0029579999999999997,0.299989,-0.17874600000000002,-0.009646,0.338706,-0.17874600000000002,-0.009644,0.338704
134,-0.143001,0.129908,0.35739499999999996,-0.186616,0.123912,0.290989,-0.176553,0.136167,0.323509,-0.176608,0.136182,0.323498
135,-0.21073899999999998,-0.008679000000000001,0.23760599999999998,-0.192118,-0.006693999999999999,0.22578,-0.212948,-0.009654,0.225841,-0.212949,-0.009651,0.22584
136,-0.20134000000000002,0.070904,0.232632,-0.205923,0.048416,0.210552,-0.203035,0.063419,0.229049,-0.215533,0.06038300000000001,0.232544
137,-0.206898,0.028669,0.23458600000000002,-0.19453800000000002,0.010586,0.220025,-0.211904,0.022591,0.222798,-0.211974,0.022633,0.222782
138,-0.21923299999999998,-0.004226,0.31156100000000003,-0.192193,0.001917,0.29531,-0.19808,-0.013451,0.333624,-0.19808,-0.013446,0.333621
139,-0.169918,0.134002,0.297176,-0.20155499999999998,0.16695,0.227921,-0.16634300000000002,0.167463,0.28373200000000004,-0.182226,0.17332,0.294806
140,-0.185249,0.032425999999999996,0.30514,-0.15454600000000002,0.000472,0.28676799999999997,-0.173721,0.011448,0.30887800000000004,-0.173723,0.011451,0.30887600000000004
141,-0.080466,0.129431,0.383531,-0.163356,0.168454,0.303725,-0.129052,0.167472,0.342955,-0.129055,0.167473,0.342956
142,-0.169303,-0.026077999999999997,0.308544,-0.184144,-0.028504,0.269449,-0.154253,-0.074033,0.312912,-0.155169,-0.054031,0.30012
143,-0.21888400000000002,-0.008064,0.311084,-0.18943800000000002,0.001596,0.298597,-0.198921,-0.01322,0.332156,-0.19892,-0.013218,0.33215500000000003
144,-0.178335,0.099576,0.354985,-0.174847,0.066015,0.324677,-0.195302,0.08127899999999999,0.347648,-0.195311,0.081288,0.347637
145,-0.187585,0.018956999999999998,0.305774,-0.153793,-0.004693,0.286392,-0.174156,-0.0015550000000000002,0.308787,-0.17415799999999998,-0.001553,0.308787
146,-0.1528,0.10177699999999999,0.358555,-0.157919,0.076222,0.32792899999999997,-0.167629,0.087734,0.347086,-0.167631,0.08773500000000001,0.347085
147,-0.13326,0.107134,0.374896,-0.149321,0.080157,0.339098,-0.14542,0.08794099999999999,0.371586,-0.145441,0.08795599999999999,0.371568
148,-0.16028,0.102052,0.30832,-0.165025,0.083499,0.313564,-0.166378,0.08731799999999999,0.322013,-0.168735,0.08697200000000001,0.324237
149,-0.156578,0.081573,0.30192800000000003,-0.165786,0.06931799999999999,0.304411,-0.156608,0.069826,0.312424,-0.166709,0.067034,0.321925
150,-0.128781,0.11386800000000001,0.342607,-0.154345,0.11083900000000001,0.325248,-0.13081099999999998,0.110547,0.346704,-0.13601400000000002,0.110565,0.354137
151,-0.189417,0.08027100000000001,0.282056,-0.181295,0.041232,0.27820500000000004,-0.196605,0.056248,0.28316,-0.19661,0.05625,0.283159
152,-0.188325,0.089005,0.265119,-0.195768,0.06715299999999999,0.251231,-0.174451,0.07510800000000001,0.26915100000000003,-0.197012,0.07028,0.282092
153,-0.226398,-0.025111,0.246646,-0.20511500000000002,-0.00525,0.25238499999999997,-0.223304,-0.023816,0.258652,-0.223304,-0.023812,0.25865
154,-0.208351,-0.008451,0.23295700000000003,-0.194578,-0.006625,0.20757399999999998,-0.212579,-0.001063,0.209682,-0.21269,-0.0008960000000000002,0.209612
155,-0.178595,0.092356,0.282171,-0.176182,0.064247,0.28891700000000003,-0.165159,0.072988,0.297735,-0.178885,0.069686,0.308625
