,Unnamed: 0,I1,I2,I3,O1,O2,O3,O4,O5,O6,O7,FX,FY,FZ,E1,E2,E3,I4,I5,I6,I7,I8,I9
439,493,-7.035135,14.452445,24,-69.693659,25.362668,24.713545,101.596522,-2.715246,0.0,-13.298851999999998,-0.191217,0.064488,0.323408,7.000000000000001e-06,6e-06,5e-06,204,122,519,204,121,392.0
440,494,-12.128923,28.443303000000004,24,-69.693659,25.362668,24.713545,101.596522,-2.715246,0.0,-13.298851999999998,-0.191217,0.064488,0.323408,7.000000000000001e-06,6e-06,5e-06,150,101,501,149,105,380.0
441,495,-9.185086,17.418578,24,-69.693659,25.362668,24.713545,101.596522,-2.715246,0.0,-13.298851999999998,-0.191217,0.064488,0.323408,7.000000000000001e-06,6e-06,5e-06,190,111,507,190,112,386.0
442,496,-14.181842000000001,29.14767,24,-72.752078,24.829694,37.185145,94.158337,-1.3748049999999998,0.0,-9.623833,-0.21466799999999997,0.027721,0.30851,1e-06,2e-06,2e-06,73,109,398,73,112,406.0
443,497,5.430794000000001,-14.661941,24,-72.752078,24.829694,37.185145,94.158337,-1.3748049999999998,0.0,-9.623833,-0.21466799999999997,0.027721,0.30851,1e-06,2e-06,2e-06,270,204,488,275,198,514.0
444,498,-17.763123,26.950872999999998,24,-72.752078,24.829694,37.185145,94.158337,-1.3748049999999998,0.0,-9.623833,-0.21466799999999997,0.027721,0.30851,1e-06,2e-06,2e-06,83,94,396,83,99,403.0
445,499,-18.960998999999997,-5.399801,24,-72.752078,24.829694,37.185145,94.158337,-1.3748049999999998,0.0,-9.623833,-0.21466799999999997,0.027721,0.30851,1e-06,2e-06,2e-06,224,87,387,225,89,387.0
446,500,9.208336,11.138354,24,-95.0,23.593748,66.106279,89.562558,77.21864599999999,-8.700446000000001,3.250625,-0.203645,-0.052032,0.357444,0.006403,0.02661,0.025457,13,129,539,13,129,602.0
447,501,9.668933,-20.92485,24,-95.0,23.593748,66.106279,89.562558,77.21864599999999,-8.700446000000001,3.250625,-0.203645,-0.052032,0.357444,0.006403,0.02661,0.025457,162,130,348,162,131,398.0
448,503,-2.11488,-24.56044,24,-95.0,23.593748,66.106279,89.562558,77.21864599999999,-8.700446000000001,3.250625,-0.203645,-0.052032,0.357444,0.006403,0.02661,0.025457,177,83,367,178,77,411.0
449,504,8.52706,8.190760000000001,24,-95.0,23.474762,68.89055400000001,92.51717099999999,-47.260056,-20.253664,2.911924,-0.193254,-0.06357,0.348521,0.004869,0.028924000000000002,0.024738999999999997,6,139,258,6,143,335.0
450,505,8.233175,-28.392115999999998,24,-95.0,23.474762,68.89055400000001,92.51717099999999,-47.260056,-20.253664,2.911924,-0.193254,-0.06357,0.348521,0.004869,0.028924000000000002,0.024738999999999997,171,136,364,171,139,470.0
